,brand,mile,name,fuel,price,year,model,location
0,벤츠,5400.0,G-클래스 W463,가솔린,16000.0,2015,G63 AMG 크레이지 컬러에디션,경기
1,벤츠,122246.0,E-클래스 W213,디젤,4000.0,2017,E350d,경기
2,피아트,88878.0,500,가솔린,1079.0,2013,1.4 라운지,경기
3,미니,151695.0,쿠퍼 클럽맨,가솔린,855.0,2013,기본형,대구
4,폭스바겐,72201.0,뉴 비틀,가솔린,600.0,2007,DELUXE 2.0,서울
5,미니,3200.0,쿠퍼 SD 컨트리맨,디젤,4600.0,2021,ALL4,경기
6,미니,41197.0,쿠퍼 D,디젤,1750.0,2015,5도어 Mid,서울
7,포르쉐,1454.0,911 (992),가솔린,22990.0,2021,카레라 4S 카브리올레,경기
8,미니,9402.0,쿠퍼 컨트리맨,가솔린,3380.0,2020,HIGH,서울
9,벤츠,28607.0,C-클래스 W205,가솔린,3680.0,2019,C200,경기
10,벤츠,28607.0,C-클래스 W205,가솔린,3680.0,2019,C200,경기
11,미니,55216.0,쿠퍼 D 컨트리맨,디젤,2670.0,2018,ALL4,경기
12,미니,3353.0,쿠퍼 SD 클럽맨,디젤,4100.0,2021,기본형,경기
13,미니,19363.0,쿠퍼 D,디젤,2440.0,2019,Mid,경기
14,벤츠,2163.0,G-클래스 W463b,가솔린,23920.0,2020,AMG G63,서울
15,람보르기니,9323.0,우라칸,가솔린,31500.0,2017,LP610-4 스파이더,서울
16,BMW,20077.0,M5 (F90),가솔린,9990.0,2020,M5 세단,경기도
17,미니,141500.0,쿠퍼 S 쿠페,가솔린,1089.0,2012,1.6,전남
18,미니,94144.0,쿠퍼 S 클럽맨,가솔린,2290.0,2018,기본형,경기
19,스마트,96137.0,포투 쿠페,가솔린,1900.0,2013,브라부스,경기
20,미니,68982.0,쿠퍼 SD,디젤,2450.0,2017,5도어 기본형,전북
21,미니,5715.0,쿠퍼 클럽맨,가솔린,3450.0,2021,High,경남
22,미니,7150.0,쿠퍼,가솔린,3250.0,2021,5도어 HIGH,경남
23,미니,125238.0,쿠퍼,가솔린,1320.0,2015,5도어 Mid,경기
24,벤츠,27314.0,A-클래스 W176,가솔린,2650.0,2017,A45 AMG 4MATIC,경기
25,벤츠,20000.0,G-클래스 W463,가솔린,27500.0,2018,G500,서울
26,미니,14087.0,쿠퍼,가솔린,29821472.0,2019,60주년 에디션,서울
27,벤츠,10523.0,G-클래스 W463b,가솔린,22500.0,2020,AMG G63,서울
28,미니,9802.0,쿠퍼 S 컨트리맨,가솔린,4290.0,2020,JCW,경기
29,미니,9802.0,쿠퍼 S 컨트리맨,가솔린,4290.0,2020,JCW,경기
30,미니,6261.0,쿠퍼 클럽맨,가솔린,3350.0,2020,High,서울
31,람보르기니,21400.0,우라칸,가솔린,37000.0,2019,LP640-4 스파이더 퍼포만테,경기
32,미니,4200.0,쿠퍼,가솔린,3150.0,2021,5도어 HIGH,인천
33,미니,143231.0,쿠퍼 컨트리맨,가솔린,1050.0,2011,기본형,대구
34,맥라렌,20501.0,570S,가솔린,21200.0,2018,3.8 스파이더,서울
35,포르쉐,7000.0,718 카이맨,가솔린,13570.0,2021,4.0 GTS,대구
36,지프,290100.0,랭글러 (TJ),가솔린,1600.0,1997,2.5,대구
37,벤츠,55000.0,뉴 SL-클래스,가솔린,3900.0,2009,SL63 AMG,서울
38,아우디,93163.0,S6,가솔린,2990.0,2013,4.0 TFSI 콰트로,대구
39,폭스바겐,179500.0,시로코,디젤,1000.0,2013,2.0 TDI R-Line,서울
40,미니,31920.0,쿠퍼 D,디젤,2470.0,2019,5도어 기본형,경기
41,맥라렌,32000.0,650S,가솔린,17800.0,2016,3.8 스파이더,경기
42,맥라렌,15000.0,570S,가솔린,18500.0,2017,3.8 쿠페,대전
43,미니,30043.0,쿠퍼 컨버터블,가솔린,2670.0,2017,기본형,광주
